fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-10-31,USD,16844000000,27450000000,10606000000,10606000000,8519000000,1347000000,4854000000,8325000000,,-1885000000,16000000,1885000000,,131000000.0,,6041000000,6765000000,29000000,,6736000000,,8650000000,14691000000,6736000000
2022-10-31,USD,22095000000,33203000000,11108000000,11108000000,14225000000,1382000000,4919000000,7813000000,,-1737000000,100000000,1737000000,,-54000000.0,,4984000000,12434000000,939000000,,11495000000,,14171000000,19155000000,11495000000
2023-10-31,USD,24690000000,35819000000,11129000000,11129000000,16207000000,1592000000,5253000000,8483000000,,-1622000000,535000000,1622000000,,,,3835000000,15097000000,1015000000,,14082000000,,16719000000,20554000000,14082000000
2024-10-31,USD,32509000000,51574000000,19065000000,19065000000,13463000000,4959000000,9310000000,19046000000,,-3492000000,461000000,3953000000,,,,10010000000,9916000000,3748000000,,6168000000,,13869000000,23879000000,5895000000
2025-10-31,USD,43294000000,63887000000,20593000000,20593000000,25484000000,4211000000,10977000000,17810000000,,-2863000000,347000000,3210000000,,,,8775000000,22729000000,-397000000,,23126000000,,25939000000,34714000000,23126000000
