fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-09-30,USD,19304000000,33566000000,14262000000,14262000000,9789000000,2339000000,7176000000,9515000000,,-476000000,83000000,559000000,,1044000000.0,,1582000000,10274000000,1231000000,,9043000000,,9789000000,11371000000,9043000000
2022-09-30,USD,25565000000,44200000000,18635000000,18635000000,15860000000,2570000000,8194000000,9705000000,,-399000000,91000000,490000000,,-372000000.0,,1762000000,14998000000,2012000000,,12986000000,,15488000000,17250000000,12936000000
2023-09-30,USD,19951000000,35820000000,15869000000,15869000000,7788000000,2483000000,8818000000,12163000000,,-694000000,313000000,694000000,,,,1809000000,7443000000,104000000,,7339000000,,8137000000,9946000000,7232000000
2024-09-30,USD,21902000000,38962000000,17060000000,17060000000,10071000000,2759000000,8893000000,11831000000,,-22000000,675000000,697000000,,,,1706000000,10336000000,226000000,,10110000000,,11033000000,12739000000,10142000000
2025-09-30,USD,24546000000,44284000000,19738000000,19738000000,12355000000,3110000000,9042000000,12191000000,,-25000000,639000000,664000000,,,,1602000000,12663000000,7122000000,,5541000000,,13327000000,14929000000,5541000000
