fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2021-09-30,USD,41240000000,20075000000,7116000000,7116000000,3228000000,3579000000,21165000000,4559000000.0,,1458000000,1458000000,7246000000,,,5298000000,854000000,,31290000000,11951000000,2750000000,,,2170000000.0,19339000000,,13701000000,2044000000.0,,16299000000,5557000000,5274000000,9950000000,,9822000000,,1149000000
2022-09-30,USD,49014000000,20724000000,2773000000,2773000000,7042000000,5643000000,28290000000,5168000000.0,,1882000000,1882000000,10508000000,,,3609000000,1657000000,,31001000000,11866000000,3796000000,,,2049000000.0,19135000000,,13537000000,1945000000.0,,16159000000,5018000000,5454000000,18013000000,,17840000000,195000000.0,1137000000
2023-09-30,USD,51040000000,22464000000,8450000000,8450000000,6422000000,3183000000,28576000000,,,1408000000,1408000000,10642000000,,,2874000000,1535000000,,29459000000,9628000000,1912000000,,,1012000000.0,19831000000,,14484000000,914000000.0,,16067000000,4694000000,4130000000,21581000000,,20733000000,490000000.0,1126000000
2024-09-30,USD,55154000000,25231000000,7849000000,7849000000,6423000000,3929000000,29923000000,,,1244000000,1244000000,10799000000,,,5451000000,1579000000,,28880000000,10504000000,2584000000,,,1462000000.0,18376000000,,13270000000,1364000000.0,,15440000000,5081000000,5018000000,26274000000,,25687000000,,1130000000
2025-09-30,USD,50143000000,25754000000,5520000000,5520000000,6526000000,4315000000,24389000000,,,1148000000,1148000000,11358000000,,,4635000000,4758000000,,28937000000,9144000000,2791000000,,,,19793000000,,14811000000,,,14811000000,5995000000,4911000000,21206000000,,20646000000,,1105000000
