fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-12-31,USD,43815000000,79024000000,35209000000,35209000000,19456000000,6543000000,15190000000,24359000000,,-482000000.0,144000000,597000000,,2247000000.0,,17044000000,21703000000,1835000000,,19868000000.0,,19456000000,36500000000,19868000000
2022-12-31,USD,26866000000,63054000000,36188000000,36188000000,2334000000,7002000000,17528000000,24532000000,,1166000000.0,589000000,496000000,,1166000000.0,,13035000000,7768000000,-249000000,,8017000000.0,,2334000000,15369000000,8014000000
2023-12-31,USD,21711000000,54228000000,32517000000,32517000000,93000000,5723000000,16046000000,21680000000,,662000000.0,1253000000,760000000,,,,9602000000,762000000,-927000000,,-1646000000.0,,93000000,93000000,1689000000
2024-12-31,USD,17345000000,53101000000,35756000000,35756000000,-11678000000,4651000000,16546000000,29023000000,,981000000.0,1805000000,824000000,,,,11379000000,-11210000000,8023000000,,-19233000000.0,,-10176000000,1203000000,-18756000000
2025-12-31,USD,18475000000,52853000000,34378000000,34378000000,-2127000000,4624000000,13774000000,20602000000,,,3771000000,953000000,,,,8679000000,1557000000,1531000000,,,,2510000000,11189000000,-267000000
