fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-12-31,TWD,819537300000,1587415000000,767877700000,767877700000,649980900000,36929600000,124734800000,169556400000,,294000000.0,5897000000,5414200000.0,,,,422394900000,663036000000,70155400000,,597073134000.0,,668450200000,1090845100000,592359200000
2022-12-31,TWD,1348354800000,2263891300000,915536500000,915536500000,1121278900000,53524800000,163262200000,227075900000,,10672225000.0,22422209000,11750000000.0,,,,437254300000,1144072200000,150777500000,,1016922033000.0,,1155822200000,1593076500000,992923400000
2023-12-31,TWD,1175111000000,2161736000000,986625000000,986625000000,921466000000,60872800000,182370000000,253645000000,,48294500000.0,60293900000,11999400000.0,,,,532190900000,979171000000,128288800000,,851027700000.0,,991315900000,1523506800000,851740000000
2024-12-31,TWD,1624354000000,2894308000000,1269954000000,1269954000000,1322053000000,83745000000,204182000000,302301000000,,76718000000.0,87213400000,10495400000.0,,,,662796000000,1405839000000,248316100000,,1172432000000.0,,1322053000000,1984849000000,1158380200000
2025-12-31,USD,2304925301000,3848510949000,1543585648000,1543585648000,1955695817000,87220355000,248979670000,349229483000,,,98865000000,,,,,695223798000,2062812029000,329645700000,,,,2057258087000,2752481885000,1735678080000
