fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-12-31,USD,7929000000,16434000000,8505000000,8505000000,3641000000,1448000000,2845000000,4281000000,,-34000000,30000000,47000000,,61000000.0,,354000000,3669000000,-1210000000,,3156000000,,3641000000,3995000000,3162000000
2022-12-31,USD,10603000000,23601000000,12998000000,12998000000,1264000000,2336000000,5005000000,9339000000,,-88000000,85000000,34000000,,,,55000000,1184000000,513000000,,1320000000,,1264000000,1319000000,1320000000
2023-12-31,USD,10460000000,22680000000,12220000000,12220000000,401000000,2298000000,5872000000,8224000000,,-33000000,206000000,106000000,,,,3551000000,492000000,-362000000,,208000000,,401000000,401000000,854000000
2024-12-31,USD,12725000000,25785000000,13060000000,13060000000,1900000000,2783000000,6456000000,10825000000,,90000000,182000000,92000000,,,,3177000000,2022000000,381000000,,1641000000,,2081000000,5258000000,1641000000
