fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2021-12-31,TWD,1112160722000,,,,,422394869000,849436459000,,-55748914000.0,,-836366000000,136608438000,,,,,265786399000,265786399000,,,,,0.0,,,,663126314000
2022-12-31,TWD,1610599188000,,,,,437254273000,1089626456000,,-28046827000.0,,-1190928235000,-200244032000,,,,,285234185000,285234185000,,,,,-871566000.0,,,,1144190718000
2023-12-31,TWD,1241967300000,,,,,532190921000,955398400000,,-29847940000.0,,-906120600000,-204894200000,,,,,291721852000,291721852000,,,,,0.0,,,,838497664000
2024-12-31,TWD,1826177000000,,,,,662796000000,956007000000,,-36871700000.0,,-864842800000,-346301000000,,,,,363055000000,363055000000,,,,,-3089177000.0,,,,1173268000000
2025-12-31,USD,2383175564000,,,,,695223798000,1285591558000,,,,-1260209326000,-425579261000,,,,,471614236000,471614236000,,,,,,,,,1735678080000
