fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2021-12-31,USD,12419000000,8583000000,1595000000,1595000000,1955000000,2706000000,2819000000,1069000000,,328000000,328000000,289000000,,69000000,1073000000,378000000,,4922000000,4240000000,468000000,,,312000000,708000000,348000000,1000000,312000000.0,,531000000,1637000000,333000000,7497000000,-2130000000.0,-1451000000,12000000,1207000000
2022-12-31,USD,67580000000,15019000000,2535000000,2535000000,3771000000,4126000000,3836000000,1973000000,,24480000000,24480000000,24177000000,,83000000,1020000000,312000000,,12830000000,6369000000,1321000000,,,312000000,682000000,396000000,2467000000,,,2779000000,1748000000,1664000000,54750000000,,-131000000,16000000,1612000000
2023-12-31,USD,67885000000,16768000000,3933000000,3933000000,4351000000,5385000000,51117000000,2222000000,,21363000000,21363000000,24262000000,,99000000,1840000000,1259000000,,11993000000,6689000000,2055000000,,,751000000,5304000000,535000000,1717000000,751000000.0,,3003000000,3339000000,1850000000,55892000000,,723000000,17000000,1625000000
2024-12-31,USD,69226000000,19049000000,3787000000,3787000000,5734000000,6933000000,50177000000,2425000000,,18930000000,18930000000,24839000000,,149000000,1345000000,1250000000,,11658000000,7281000000,1990000000,,,109000000,4377000000,491000000,1721000000,,,2212000000,5291000000,1816000000,57568000000,,2364000000,17000000,1637000000
